"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 14 15:14:21 GMT 2022","Thu Jul 14 15:14:22 GMT 2022","1331","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"passed","Thu Jul 14 15:14:19 GMT 2022","Thu Jul 14 15:14:21 GMT 2022","1560","","WebsiteTest","","WebsiteTest","saveDataToFileTest","saveDataToFileTest()",""
"passed","Thu Jul 14 15:14:14 GMT 2022","Thu Jul 14 15:14:16 GMT 2022","2080","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
"passed","Thu Jul 14 15:14:25 GMT 2022","Thu Jul 14 15:14:28 GMT 2022","3319","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"passed","Thu Jul 14 15:14:30 GMT 2022","Thu Jul 14 15:14:31 GMT 2022","1489","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Thu Jul 14 15:14:16 GMT 2022","Thu Jul 14 15:14:18 GMT 2022","1362","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Thu Jul 14 15:14:18 GMT 2022","Thu Jul 14 15:14:19 GMT 2022","1485","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"broken","Thu Jul 14 15:14:23 GMT 2022","Thu Jul 14 15:14:25 GMT 2022","1715","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"passed","Thu Jul 14 15:14:28 GMT 2022","Thu Jul 14 15:14:30 GMT 2022","1400","","WebsiteTest","","WebsiteTest","deleteUserTest","deleteUserTest()",""
"passed","Thu Jul 14 15:14:22 GMT 2022","Thu Jul 14 15:14:22 GMT 2022","467","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Thu Jul 14 15:14:22 GMT 2022","Thu Jul 14 15:14:23 GMT 2022","820","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
