"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 14 15:07:28 GMT 2022","Thu Jul 14 15:07:31 GMT 2022","3754","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"broken","Thu Jul 14 15:07:26 GMT 2022","Thu Jul 14 15:07:28 GMT 2022","1902","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"passed","Thu Jul 14 15:07:24 GMT 2022","Thu Jul 14 15:07:25 GMT 2022","494","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Thu Jul 14 15:07:31 GMT 2022","Thu Jul 14 15:07:33 GMT 2022","1927","","WebsiteTest","","WebsiteTest","deleteUserTest","deleteUserTest()",""
"passed","Thu Jul 14 15:07:25 GMT 2022","Thu Jul 14 15:07:26 GMT 2022","939","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"passed","Thu Jul 14 15:07:21 GMT 2022","Thu Jul 14 15:07:23 GMT 2022","1661","","WebsiteTest","","WebsiteTest","saveDataToFileTest","saveDataToFileTest()",""
"passed","Thu Jul 14 15:07:33 GMT 2022","Thu Jul 14 15:07:35 GMT 2022","1810","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Thu Jul 14 15:07:19 GMT 2022","Thu Jul 14 15:07:21 GMT 2022","1985","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"passed","Thu Jul 14 15:07:23 GMT 2022","Thu Jul 14 15:07:24 GMT 2022","1526","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"passed","Thu Jul 14 15:07:15 GMT 2022","Thu Jul 14 15:07:17 GMT 2022","2360","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
"passed","Thu Jul 14 15:07:17 GMT 2022","Thu Jul 14 15:07:19 GMT 2022","1812","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
