"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 14 15:02:24 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","228","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","146","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","147","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"broken","Thu Jul 14 15:02:23 GMT 2022","Thu Jul 14 15:02:24 GMT 2022","1209","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","154","","WebsiteTest","","WebsiteTest","saveDataToFileTest","saveDataToFileTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","142","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","151","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:26 GMT 2022","146","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"broken","Thu Jul 14 15:02:26 GMT 2022","Thu Jul 14 15:02:26 GMT 2022","142","","WebsiteTest","","WebsiteTest","deleteUserTest","deleteUserTest()",""
"broken","Thu Jul 14 15:02:26 GMT 2022","Thu Jul 14 15:02:26 GMT 2022","137","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"broken","Thu Jul 14 15:02:25 GMT 2022","Thu Jul 14 15:02:25 GMT 2022","150","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
