"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 14:48:09 GMT 2022","Wed Jun 15 14:48:10 GMT 2022","860","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"passed","Wed Jun 15 14:48:05 GMT 2022","Wed Jun 15 14:48:07 GMT 2022","2022","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Wed Jun 15 14:48:07 GMT 2022","Wed Jun 15 14:48:09 GMT 2022","1688","","WebsiteTest","","WebsiteTest","portfolioListSizeTest","portfolioListSizeTest()",""
