"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 12:54:08 GMT 2022","Mon Jul 11 12:54:09 GMT 2022","488","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Mon Jul 11 12:54:07 GMT 2022","Mon Jul 11 12:54:08 GMT 2022","1405","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"broken","Mon Jul 11 12:54:09 GMT 2022","Mon Jul 11 12:54:11 GMT 2022","1764","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"passed","Mon Jul 11 12:54:15 GMT 2022","Mon Jul 11 12:54:16 GMT 2022","1640","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Mon Jul 11 12:54:04 GMT 2022","Mon Jul 11 12:54:05 GMT 2022","1387","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Mon Jul 11 12:54:09 GMT 2022","Mon Jul 11 12:54:09 GMT 2022","869","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"passed","Mon Jul 11 12:54:11 GMT 2022","Mon Jul 11 12:54:15 GMT 2022","3496","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"passed","Mon Jul 11 12:54:05 GMT 2022","Mon Jul 11 12:54:07 GMT 2022","1609","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"passed","Mon Jul 11 12:54:01 GMT 2022","Mon Jul 11 12:54:04 GMT 2022","2174","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
