"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 15:16:51 GMT 2022","Thu Jul 07 15:16:51 GMT 2022","467","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Thu Jul 07 15:16:57 GMT 2022","Thu Jul 07 15:16:59 GMT 2022","1450","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Thu Jul 07 15:16:49 GMT 2022","Thu Jul 07 15:16:51 GMT 2022","1629","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"passed","Thu Jul 07 15:16:54 GMT 2022","Thu Jul 07 15:16:57 GMT 2022","3358","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"passed","Thu Jul 07 15:16:47 GMT 2022","Thu Jul 07 15:16:49 GMT 2022","1915","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Thu Jul 07 15:16:51 GMT 2022","Thu Jul 07 15:16:52 GMT 2022","849","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"broken","Thu Jul 07 15:16:52 GMT 2022","Thu Jul 07 15:16:54 GMT 2022","1715","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
