"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 14 11:37:40 GMT 2022","Thu Jul 14 11:37:42 GMT 2022","1592","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"passed","Thu Jul 14 11:37:39 GMT 2022","Thu Jul 14 11:37:40 GMT 2022","451","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Thu Jul 14 11:37:45 GMT 2022","Thu Jul 14 11:37:46 GMT 2022","1287","","WebsiteTest","","WebsiteTest","deleteUserTest","deleteUserTest()",""
"passed","Thu Jul 14 11:37:35 GMT 2022","Thu Jul 14 11:37:36 GMT 2022","1433","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"passed","Thu Jul 14 11:37:34 GMT 2022","Thu Jul 14 11:37:35 GMT 2022","1267","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Thu Jul 14 11:37:42 GMT 2022","Thu Jul 14 11:37:45 GMT 2022","3183","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"passed","Thu Jul 14 11:37:46 GMT 2022","Thu Jul 14 11:37:48 GMT 2022","1360","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Thu Jul 14 11:37:40 GMT 2022","Thu Jul 14 11:37:40 GMT 2022","804","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"passed","Thu Jul 14 11:37:38 GMT 2022","Thu Jul 14 11:37:39 GMT 2022","1271","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"passed","Thu Jul 14 11:37:36 GMT 2022","Thu Jul 14 11:37:38 GMT 2022","1418","","WebsiteTest","","WebsiteTest","saveDataToFileTest","saveDataToFileTest()",""
"passed","Thu Jul 14 11:37:32 GMT 2022","Thu Jul 14 11:37:34 GMT 2022","1933","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
